irun CODIGOINE beta time recover
1 32 0.28999999999999998 3 0
1 33 0.28999999999999998 3 0
1 34 0.28999999999999998 3 0
1 35 0.28999999999999998 3 0
1 36 0.28999999999999998 3 0
1 37 0.28999999999999998 3 0
1 38 0.28999999999999998 3 0
1 39 0.28999999999999998 3 0
1 40 0.28999999999999998 3 0
1 41 0.28999999999999998 3 0
1 42 0.28999999999999998 3 0
1 43 0.28999999999999998 3 0
1 44 0.28999999999999998 3 0
1 45 0.28999999999999998 3 0
1 46 0.28999999999999998 3 0
1 47 0.28999999999999998 3 0
1 48 0.28999999999999998 3 0
1 49 0.28999999999999998 3 0
1 50 0.28999999999999998 3 0
1 51 0.28999999999999998 3 0
1 52 0.28999999999999998 3 0
1 53 0.28999999999999998 3 0
1 54 0.28999999999999998 3 0
1 55 0.28999999999999998 3 0
1 56 0.28999999999999998 3 0
1 57 0.28999999999999998 3 0
1 58 0.28999999999999998 3 0
1 59 0.28999999999999998 3 0
1 60 0.28999999999999998 3 0
1 61 0.28999999999999998 3 0
1 62 0.28999999999999998 3 0
1 63 0.28999999999999998 3 0
1 64 0.28999999999999998 3 0
1 65 0.28999999999999998 3 0
1 66 0.28999999999999998 3 0
1 67 0.28999999999999998 3 0
1 1 0.28999999999999998 4 0
1 2 0.28999999999999998 4 0
1 3 0.28999999999999998 4 0
1 4 0.28999999999999998 4 0
1 5 0.28999999999999998 4 0
1 6 0.28999999999999998 4 0
1 7 0.28999999999999998 4 0
1 8 0.28999999999999998 4 0
1 9 0.28999999999999998 4 0
1 10 0.28999999999999998 4 0
1 11 0.28999999999999998 4 0
1 12 0.28999999999999998 4 0
1 13 0.28999999999999998 4 0
1 14 0.28999999999999998 4 0
1 15 0.28999999999999998 4 0
1 16 0.28999999999999998 4 0
1 17 0.28999999999999998 4 0
1 18 0.28999999999999998 4 0
1 19 0.28999999999999998 4 0
1 20 0.28999999999999998 4 0
1 21 0.28999999999999998 4 0
1 22 0.28999999999999998 4 0
1 23 0.28999999999999998 4 0
1 24 0.28999999999999998 4 0
1 25 0.28999999999999998 4 0
1 26 0.28999999999999998 4 0
1 27 0.28999999999999998 4 0
1 28 0.28999999999999998 4 0
1 29 0.28999999999999998 4 0
1 30 0.28999999999999998 4 0
1 31 0.28999999999999998 4 0
1 32 0.28999999999999998 4 0
1 33 0.28999999999999998 4 0
1 34 0.28999999999999998 4 0
1 35 0.28999999999999998 4 0
1 36 0.28999999999999998 4 0
1 37 0.28999999999999998 4 0
1 38 0.28999999999999998 4 0
1 39 0.28999999999999998 4 0
1 40 0.28999999999999998 4 0
1 41 0.28999999999999998 4 0
1 42 0.28999999999999998 4 0
1 43 0.28999999999999998 4 0
1 44 0.28999999999999998 4 0
1 45 0.28999999999999998 4 0
1 46 0.28999999999999998 4 0
1 47 0.28999999999999998 4 0
1 48 0.28999999999999998 4 0
1 49 0.28999999999999998 4 0
1 50 0.28999999999999998 4 0
1 51 0.28999999999999998 4 0
1 52 0.28999999999999998 4 0
1 53 0.28999999999999998 4 0
1 54 0.28999999999999998 4 0
1 55 0.28999999999999998 4 0
1 56 0.28999999999999998 4 0
1 57 0.28999999999999998 4 0
1 58 0.28999999999999998 4 0
1 59 0.28999999999999998 4 0
1 60 0.28999999999999998 4 0
1 61 0.28999999999999998 4 0
1 62 0.28999999999999998 4 0
1 63 0.28999999999999998 4 0
1 64 0.28999999999999998 4 0
1 65 0.28999999999999998 4 0
1 66 0.28999999999999998 4 0
1 67 0.28999999999999998 4 0
1 1 0.28999999999999998 5 0
1 2 0.28999999999999998 5 0
1 3 0.28999999999999998 5 0
1 4 0.28999999999999998 5 0
1 5 0.28999999999999998 5 0
1 6 0.28999999999999998 5 0
1 7 0.28999999999999998 5 0
1 8 0.28999999999999998 5 0
1 9 0.28999999999999998 5 0
1 10 0.28999999999999998 5 0
1 11 0.28999999999999998 5 0
1 12 0.28999999999999998 5 0
1 13 0.28999999999999998 5 0
1 14 0.28999999999999998 5 0
1 15 0.28999999999999998 5 0
1 16 0.28999999999999998 5 0
1 17 0.28999999999999998 5 0
1 18 0.28999999999999998 5 0
1 19 0.28999999999999998 5 0
1 20 0.28999999999999998 5 0
1 21 0.28999999999999998 5 0
1 22 0.28999999999999998 5 0
1 23 0.28999999999999998 5 0
1 24 0.28999999999999998 5 0
1 25 0.28999999999999998 5 0
1 26 0.28999999999999998 5 0
1 27 0.28999999999999998 5 0
1 28 0.28999999999999998 5 0
1 29 0.28999999999999998 5 0
1 30 0.28999999999999998 5 0
1 31 0.28999999999999998 5 0
1 32 0.28999999999999998 5 0
1 33 0.28999999999999998 5 0
1 34 0.28999999999999998 5 0
1 35 0.28999999999999998 5 0
1 36 0.28999999999999998 5 0
1 37 0.28999999999999998 5 0
1 38 0.28999999999999998 5 0
1 39 0.28999999999999998 5 0
1 40 0.28999999999999998 5 0
1 41 0.28999999999999998 5 0
1 42 0.28999999999999998 5 0
1 43 0.28999999999999998 5 0
1 44 0.28999999999999998 5 0
1 45 0.28999999999999998 5 0
1 46 0.28999999999999998 5 0
1 47 0.28999999999999998 5 0
1 48 0.28999999999999998 5 0
1 49 0.28999999999999998 5 0
1 50 0.28999999999999998 5 0
1 51 0.28999999999999998 5 0
1 52 0.28999999999999998 5 0
1 53 0.28999999999999998 5 0
1 54 0.28999999999999998 5 0
1 55 0.28999999999999998 5 0
1 56 0.28999999999999998 5 0
1 57 0.28999999999999998 5 0
1 58 0.28999999999999998 5 0
1 59 0.28999999999999998 5 0
1 60 0.28999999999999998 5 0
1 61 0.28999999999999998 5 0
1 62 0.28999999999999998 5 0
1 63 0.28999999999999998 5 0
1 64 0.28999999999999998 5 0
1 65 0.28999999999999998 5 0
1 66 0.28999999999999998 5 0
1 67 0.28999999999999998 5 0
1 1 0.28999999999999998 6 0
1 2 0.28999999999999998 6 0
1 3 0.28999999999999998 6 0
1 4 0.28999999999999998 6 0
1 5 0.28999999999999998 6 0
1 6 0.28999999999999998 6 0
1 7 0.28999999999999998 6 0
1 8 0.28999999999999998 6 0
1 9 0.28999999999999998 6 0
1 10 0.28999999999999998 6 0
1 11 0.28999999999999998 6 0
1 12 0.28999999999999998 6 0
1 13 0.28999999999999998 6 0
1 14 0.28999999999999998 6 0
1 15 0.28999999999999998 6 0
1 16 0.28999999999999998 6 0
1 17 0.28999999999999998 6 0
1 18 0.28999999999999998 6 0
1 19 0.28999999999999998 6 0
1 20 0.28999999999999998 6 0
1 21 0.28999999999999998 6 0
1 22 0.28999999999999998 6 0
1 23 0.28999999999999998 6 0
1 24 0.28999999999999998 6 0
1 25 0.28999999999999998 6 0
1 26 0.28999999999999998 6 0
1 27 0.28999999999999998 6 0
1 28 0.28999999999999998 6 0
1 29 0.28999999999999998 6 0
1 30 0.28999999999999998 6 0
1 31 0.28999999999999998 6 0
1 32 0.28999999999999998 6 0
1 33 0.28999999999999998 6 0
1 34 0.28999999999999998 6 0
1 35 0.28999999999999998 6 0
1 36 0.28999999999999998 6 0
1 37 0.28999999999999998 6 0
1 38 0.28999999999999998 6 0
1 39 0.28999999999999998 6 0
1 40 0.28999999999999998 6 0
1 41 0.28999999999999998 6 0
1 42 0.28999999999999998 6 0
1 43 0.28999999999999998 6 0
1 44 0.28999999999999998 6 0
1 45 0.28999999999999998 6 0
1 46 0.28999999999999998 6 0
1 47 0.28999999999999998 6 0
1 48 0.28999999999999998 6 0
1 49 0.28999999999999998 6 0
1 50 0.28999999999999998 6 0
1 51 0.28999999999999998 6 0
1 52 0.28999999999999998 6 0
1 53 0.28999999999999998 6 0
1 54 0.28999999999999998 6 0
1 55 0.28999999999999998 6 0
1 56 0.28999999999999998 6 0
1 57 0.28999999999999998 6 0
1 58 0.28999999999999998 6 0
1 59 0.28999999999999998 6 0
1 60 0.28999999999999998 6 0
1 61 0.28999999999999998 6 0
1 62 0.28999999999999998 6 0
1 63 0.28999999999999998 6 0
1 64 0.28999999999999998 6 0
1 65 0.28999999999999998 6 0
1 66 0.28999999999999998 6 0
1 67 0.28999999999999998 6 0
1 1 0.28999999999999998 7 0
1 2 0.28999999999999998 7 0
1 3 0.28999999999999998 7 0
1 4 0.28999999999999998 7 0
1 5 0.28999999999999998 7 0
1 6 0.28999999999999998 7 0
1 7 0.28999999999999998 7 0
1 8 0.28999999999999998 7 0
1 9 0.28999999999999998 7 0
1 10 0.28999999999999998 7 0
1 11 0.28999999999999998 7 0
1 12 0.28999999999999998 7 0
1 13 0.28999999999999998 7 0
1 14 0.28999999999999998 7 0
1 15 0.28999999999999998 7 0
1 16 0.28999999999999998 7 0
1 17 0.28999999999999998 7 0
1 18 0.28999999999999998 7 0
1 19 0.28999999999999998 7 0
1 20 0.28999999999999998 7 0
1 21 0.28999999999999998 7 0
1 22 0.28999999999999998 7 0
1 23 0.28999999999999998 7 0
1 24 0.28999999999999998 7 0
1 25 0.28999999999999998 7 0
1 26 0.28999999999999998 7 0
1 27 0.28999999999999998 7 0
1 28 0.28999999999999998 7 0
1 29 0.28999999999999998 7 0
1 30 0.28999999999999998 7 0
1 31 0.28999999999999998 7 0
1 32 0.28999999999999998 7 0
1 33 0.28999999999999998 7 0
1 34 0.28999999999999998 7 0
1 35 0.28999999999999998 7 0
1 36 0.28999999999999998 7 0
1 37 0.28999999999999998 7 0
1 38 0.28999999999999998 7 0
1 39 0.28999999999999998 7 0
1 40 0.28999999999999998 7 0
1 41 0.28999999999999998 7 0
1 42 0.28999999999999998 7 0
1 43 0.28999999999999998 7 0
1 44 0.28999999999999998 7 0
1 45 0.28999999999999998 7 0
1 46 0.28999999999999998 7 0
1 47 0.28999999999999998 7 0
1 48 0.28999999999999998 7 0
1 49 0.28999999999999998 7 0
1 50 0.28999999999999998 7 0
1 51 0.28999999999999998 7 0
1 52 0.28999999999999998 7 0
1 53 0.28999999999999998 7 0
1 54 0.28999999999999998 7 0
1 55 0.28999999999999998 7 0
1 56 0.28999999999999998 7 0
1 57 0.28999999999999998 7 0
1 58 0.28999999999999998 7 0
1 59 0.28999999999999998 7 0
1 60 0.28999999999999998 7 0
1 61 0.28999999999999998 7 0
1 62 0.28999999999999998 7 0
1 63 0.28999999999999998 7 0
1 64 0.28999999999999998 7 0
1 65 0.28999999999999998 7 0
1 66 0.28999999999999998 7 0
1 67 0.28999999999999998 7 0
1 1 0.28999999999999998 8 0
